X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code,AREA,PERIMETER,HOOD_,HOOD_ID,HOOD_NAME
232560.678689169697464,903113.650392836309038,182,14026.00000000000,2400.00000000000,2.00000000000,Inman Square 2 BR - New Construction - Condo Quality - Great Price!,,2015-10-28 20:14:05,2015-11-03 21:06:14.427249,2015-11-03 21:06:14.427249,0.00000000000,18.00000000000,232560.67868899999,903113.65039299999,0,232560.678689_903113.650393,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
231848.922775640414329,905026.04849831329193,183,14028.00000000000,2100.00000000000,2.00000000000,Heat included - Walk to Davis and Porter Squares...On Bike Path,,2015-11-03 18:49:36,2015-11-03 21:06:19.66466,2015-11-03 21:06:19.66466,0.00000000000,18.00000000000,231848.92277599999,905026.04849800002,0,231848.922776_905026.048498,5164364.67909,9614.32488,8,4,Powder House
231848.951489346509334,905019.717136745573953,184,14029.00000000000,2100.00000000000,2.00000000000,Heat included - Walk to Davis and Porter Squares...On Bike Path,,2015-11-03 18:21:20,2015-11-03 21:06:19.671656,2015-11-03 21:06:19.671656,0.00000000000,18.00000000000,231848.95148900000,905019.71713700006,0,231848.951489_905019.717137,5164364.67909,9614.32488,8,4,Powder House
232594.404057290463243,903992.104616089724004,185,14052.00000000000,2300.00000000000,2.00000000000,2 beds - 2 PARKING SPOTS !! *** Close to DAVIS and PORTER SQ !! ***,,2015-11-01 15:53:47,2015-11-03 21:06:30.312996,2015-11-03 21:06:30.312996,0.00000000000,18.00000000000,232594.40405700001,903992.10461599997,0,232594.404057_903992.104616,9834653.37944,14217.37817,11,9,Spring Hill
233084.057065706583671,904198.001193678705022,245,14475.00000000000,2000.00000000000,2.00000000000,"Sunny, charming, ALL utils! pkg! storage, pets, Location!",,2015-11-03 17:33:52,2015-11-03 21:10:34.397481,2015-11-03 21:10:34.397481,0.00000000000,18.00000000000,233084.05706600001,904198.00119400001,0,233084.057066_904198.001194,2531078.48422,8784.65651,12,10,Central Hill
232203.237672758405097,903888.44119809102267,254,14503.00000000000,1875.00000000000,2.00000000000,PORTER SQUARE TWO BEDROOM DEAL FOR RENT AVAILABLE 1/1/16,,2015-11-03 17:23:03,2015-11-03 21:11:11.172889,2015-11-03 21:11:11.172889,0.00000000000,18.00000000000,232203.23767300000,903888.44119799999,0,232203.237673_903888.441198,9834653.37944,14217.37817,11,9,Spring Hill
231336.776380022987723,905622.015130664687604,276,14639.00000000000,1900.00000000000,2.00000000000,12/1!Modern 2BD 3rd FL! 6 min to T!Laundry!Mod KIT!HWD FL!,,2015-11-03 20:08:13,2015-11-03 21:13:03.881025,2015-11-03 21:13:03.881025,0.00000000000,18.00000000000,231336.77638000000,905622.01513099996,0,231336.77638_905622.015131,8755078.92698,16630.09081,7,3,Davis Square
230235.641362878319342,906100.825018365751021,279,14651.00000000000,2100.00000000000,2.00000000000,Renovated 2nd Flr 2bd/Modern Kitchen+ DW/ Porch/Yard/OFFstPkgavailable,,2015-11-03 16:50:32,2015-11-03 21:13:09.176143,2015-11-03 21:13:09.176143,0.00000000000,18.00000000000,230235.64136300000,906100.82501799997,0,230235.641363_906100.825018,9787564.58193,17807.41102,6,1,West Somerville
230230.921841622533975,906107.136197253828868,280,14652.00000000000,2000.00000000000,2.00000000000,Renovated 3rd Flr 2bd/Modern Kitchen+ DW +/Yard/OFFstPkgavailable,,2015-11-03 16:50:14,2015-11-03 21:13:09.183152,2015-11-03 21:13:09.183152,0.00000000000,18.00000000000,230230.92184200001,906107.13619700004,0,230230.921842_906107.136197,9787564.58193,17807.41102,6,1,West Somerville
230226.256838875706308,906100.784614037256688,281,14655.00000000000,2100.00000000000,2.00000000000,Renovated 2nd Flr 2bd/Modern Kitchen+ DW/ Porch/Yard/OFFstPkgavailable,,2015-11-03 16:47:16,2015-11-03 21:13:09.203281,2015-11-03 21:13:09.203281,0.00000000000,18.00000000000,230226.25683900001,906100.78461400000,0,230226.256839_906100.784614,9787564.58193,17807.41102,6,1,West Somerville
230240.36093125489424,906113.619421872426756,282,14656.00000000000,1900.00000000000,2.00000000000,Renovated 3rd Flr 2bd/Modern Kitchen+ DW +/Yard/OFFstPkgavailable,,2015-11-03 16:46:30,2015-11-03 21:13:09.209541,2015-11-03 21:13:09.209541,0.00000000000,18.00000000000,230240.36093100000,906113.61942200002,0,230240.360931_906113.619422,9787564.58193,17807.41102,6,1,West Somerville
230216.81724093813682,906094.412485425709747,283,14667.00000000000,2000.00000000000,2.00000000000,Renovated Teele Square 2bd/Laundry/Off st pkgSpace/WalkToT: 15 minutes,,2015-11-03 15:38:16,2015-11-03 21:13:09.273053,2015-11-03 21:13:09.273053,0.00000000000,18.00000000000,230216.81724100001,906094.41248499998,0,230216.817241_906094.412485,9787564.58193,17807.41102,6,1,West Somerville
230235.586357571912231,906113.598860508063808,284,14669.00000000000,1900.00000000000,2.00000000000,Renovated 3rd Flr 2bd/Modern Kitchen+ DW +/Yard/OFFstPkgavailable,,2015-11-03 15:36:37,2015-11-03 21:13:09.284852,2015-11-03 21:13:09.284852,0.00000000000,18.00000000000,230235.58635800000,906113.59886100003,0,230235.586358_906113.598861,9787564.58193,17807.41102,6,1,West Somerville
230226.393592216278194,906069.016625296673737,285,14672.00000000000,2000.00000000000,2.00000000000,"11/01, Incredible 2BD, Laundry, DW, HWD FL, Awesome!",,2015-11-02 19:39:55,2015-11-03 21:13:09.301343,2015-11-03 21:13:09.301343,0.00000000000,18.00000000000,230226.39359200001,906069.01662500005,0,230226.393592_906069.016625,9787564.58193,17807.41102,6,1,West Somerville
230254.492731111880857,906100.906219350174069,286,14673.00000000000,2100.00000000000,2.00000000000,"11/01,  Beautifully Renovated 2BD, Laundry, DW, HWD FL, Do Not Miss!",,2015-11-02 18:02:02,2015-11-03 21:13:09.307475,2015-11-03 21:13:09.307475,0.00000000000,18.00000000000,230254.49273100001,906100.90621900000,0,230254.492731_906100.906219,9787564.58193,17807.41102,6,1,West Somerville
230240.41594524733955,906100.845579768414609,287,14674.00000000000,2000.00000000000,2.00000000000,"Beautiful 2 Bd, 1/2 FEE! Pkg Inc, Gas Range, DW/Disposal, Yard, Lndry",,2015-11-02 15:28:43,2015-11-03 21:13:09.313118,2015-11-03 21:13:09.313118,0.00000000000,18.00000000000,230240.41594499999,906100.84557999996,0,230240.415945_906100.84558,9787564.58193,17807.41102,6,1,West Somerville
230226.284093912807293,906094.45323150488548,288,14677.00000000000,2000.00000000000,2.00000000000,Renovated Teele Square 2bd/Laundry/Off st pkgSpace/WalkToT: 15 minutes,,2015-10-29 19:22:50,2015-11-03 21:13:09.329658,2015-11-03 21:13:09.329658,0.00000000000,18.00000000000,230226.28409400000,906094.45323200000,0,230226.284094_906094.453232,9787564.58193,17807.41102,6,1,West Somerville
231518.142736217239872,905145.409878307487816,289,14682.00000000000,3200.00000000000,2.00000000000,"Davis Sq-  2.5 Bed, 2 Baths, Parking, 6 min to T, Laundry, DW, HWD FL",,2015-11-03 16:50:05,2015-11-03 21:13:14.590515,2015-11-03 21:13:14.590515,0.00000000000,18.00000000000,231518.14273600001,905145.40987800003,0,231518.142736_905145.409878,8755078.92698,16630.09081,7,3,Davis Square
231466.102624850871507,905183.387618841719814,290,14683.00000000000,3000.00000000000,2.00000000000,"NOW! 2 Bed, 2 Baths, Parking, 6 min to Davis, Laundry, DW, HWD FL",,2015-11-03 16:48:13,2015-11-03 21:13:14.597588,2015-11-03 21:13:14.597588,0.00000000000,18.00000000000,231466.10262500000,905183.38761900004,0,231466.102625_905183.387619,5164364.67909,9614.32488,8,4,Powder House
231461.495342377515044,905164.261420737719163,291,14685.00000000000,2500.00000000000,2.00000000000,"REDUCED! Wonderful 2.5 Bd,Parking Inc, Lndry@Unit, Aplcs, Hrdwd, T/Bus",,2015-11-02 18:29:17,2015-11-03 21:13:14.609479,2015-11-03 21:13:14.609479,0.00000000000,18.00000000000,231461.49534200001,905164.26142100000,0,231461.495342_905164.261421,8755078.92698,16630.09081,7,3,Davis Square
230254.328090908820741,906139.116669531911612,297,14746.00000000000,1900.00000000000,2.00000000000,"Brand New Renovation!Spacious 2BD w/Modern Kitchen+Bath,Laundry,DW",,2015-11-03 18:27:15,2015-11-03 21:13:41.154846,2015-11-03 21:13:41.154846,0.00000000000,18.00000000000,230254.32809100000,906139.11667000002,0,230254.328091_906139.11667,9787564.58193,17807.41102,6,1,West Somerville
230245.025912656652508,906119.971014638664201,298,14748.00000000000,2000.00000000000,2.00000000000,Renovated 1stFlr 2bd/Modern Kitchen+ DW/ Porch/Yard/OFFstPkgavailable,,2015-11-03 16:49:23,2015-11-03 21:13:41.168706,2015-11-03 21:13:41.168706,0.00000000000,18.00000000000,230245.02591299999,906119.97101500002,0,230245.025913_906119.971015,9787564.58193,17807.41102,6,1,West Somerville
230259.157695520989364,906126.363400964764878,299,14749.00000000000,2100.00000000000,2.00000000000,Renovated 2ndFlr 2bd/Modern Kitchen+ DW/ Porch/Yard/OFFstPkgavailable,,2015-11-03 16:49:22,2015-11-03 21:13:41.174479,2015-11-03 21:13:41.174479,0.00000000000,18.00000000000,230259.15769600001,906126.36340100004,0,230259.157696_906126.363401,9787564.58193,17807.41102,6,1,West Somerville
230240.333663449302549,906119.950804634136148,300,14750.00000000000,2100.00000000000,2.00000000000,Renovated 2nd Flr 2bd/Modern Kitchen+ DW/ Porch/Yard/OFFstPkgAvailable,,2015-11-03 16:42:47,2015-11-03 21:13:41.180367,2015-11-03 21:13:41.180367,0.00000000000,18.00000000000,230240.33366300000,906119.95080500003,0,230240.333663_906119.950805,9787564.58193,17807.41102,6,1,West Somerville
230287.146255117375404,906183.800816975999624,301,14751.00000000000,2000.00000000000,2.00000000000,--- Condo Quality 2 Bed (( Brand New Kitchen )) --Granite/Stainless,,2015-11-02 17:29:29,2015-11-03 21:13:41.185786,2015-11-03 21:13:41.185786,0.00000000000,18.00000000000,230287.14625500000,906183.80081699998,0,230287.146255_906183.800817,9787564.58193,17807.41102,6,1,West Somerville
230268.487119974102825,906139.177691868389957,302,14752.00000000000,2100.00000000000,2.00000000000,"Brand New Renovation!Spacious 2BD w/Modern Kitchen+Bath,Laundry,DW",,2015-11-02 15:11:34,2015-11-03 21:13:41.191023,2015-11-03 21:13:41.191023,0.00000000000,18.00000000000,230268.48712000001,906139.17769200006,0,230268.48712_906139.177692,9787564.58193,17807.41102,6,1,West Somerville
230282.536445731850108,906164.675351857906207,303,14753.00000000000,2000.00000000000,2.00000000000,"Awesome Renovated 2BD + Office w/Parking Included,Laundry,Porch,Yard!",,2015-11-02 15:08:15,2015-11-03 21:13:41.196781,2015-11-03 21:13:41.196781,0.00000000000,18.00000000000,230282.53644600001,906164.67535200005,0,230282.536446_906164.675352,9787564.58193,17807.41102,6,1,West Somerville
230268.432533439074177,906151.840457911486737,304,14754.00000000000,2000.00000000000,2.00000000000,"Beautiful newly renovated 2BR 15 min to Davis, nice HWD FL, ava 11/1!",,2015-11-02 02:30:05,2015-11-03 21:13:41.202796,2015-11-03 21:13:41.202796,0.00000000000,18.00000000000,230268.43253300001,906151.84045799996,0,230268.432533_906151.840458,9787564.58193,17807.41102,6,1,West Somerville
230259.048077619663673,906151.800009756232612,305,14757.00000000000,2000.00000000000,2.00000000000,--- Condo Quality 2 Bed (( Brand New Kitchen )) --Granite/Stainless,,2015-10-31 01:50:03,2015-11-03 21:13:41.220724,2015-11-03 21:13:41.220724,0.00000000000,18.00000000000,230259.04807799999,906151.80001000001,0,230259.048078_906151.80001,9787564.58193,17807.41102,6,1,West Somerville
230277.816924602928339,906170.986500081606209,306,14758.00000000000,2000.00000000000,2.00000000000,--- Condo Quality 2 Bed (( Brand New Kitchen )) --Granite/Stainless,,2015-10-28 19:58:49,2015-11-03 21:13:41.226019,2015-11-03 21:13:41.226019,0.00000000000,18.00000000000,230277.81692499999,906170.98650000000,0,230277.816925_906170.9865,9787564.58193,17807.41102,6,1,West Somerville
230259.07536242538481,906145.468626647605561,307,14759.00000000000,2000.00000000000,2.00000000000,--- Condo Quality 2 Bed (( Brand New Kitchen )) -- Dining Room,,2015-10-27 18:40:03,2015-11-03 21:13:41.23162,2015-11-03 21:13:41.23162,0.00000000000,18.00000000000,230259.07536200000,906145.46862699999,0,230259.075362_906145.468627,9787564.58193,17807.41102,6,1,West Somerville
230973.357561142358463,905664.945374021888711,309,14761.00000000000,2000.00000000000,2.00000000000,"9/01, Great 2.5 Bed, 8 min to Davis,  Incredible Unit!",,2015-11-03 16:49:10,2015-11-03 21:13:46.469182,2015-11-03 21:13:46.469182,0.00000000000,18.00000000000,230973.35756100001,905664.94537400000,0,230973.357561_905664.945374,8755078.92698,16630.09081,7,3,Davis Square
230964.000862851418788,905658.461533262045123,310,14762.00000000000,2000.00000000000,2.00000000000,"9/01, Great 2.5 Bed, 8 min to Davis,  Incredible Unit!",,2015-11-02 18:00:07,2015-11-03 21:13:46.476401,2015-11-03 21:13:46.476401,0.00000000000,18.00000000000,230964.00086299999,905658.46153299999,0,230964.000863_905658.461533,8755078.92698,16630.09081,7,3,Davis Square
231011.426044926338363,905601.465189630165696,311,14763.00000000000,2000.00000000000,2.00000000000,"Beautiful, well kept, spacious 2bd, Excellent DavisLocation/!Patio/ DW",,2015-10-30 20:19:39,2015-11-03 21:13:46.483243,2015-11-03 21:13:46.483243,0.00000000000,18.00000000000,231011.42604500000,905601.46519000002,0,231011.426045_905601.46519,8755078.92698,16630.09081,7,3,Davis Square
231006.707526829151902,905588.67028191848658,312,14771.00000000000,2200.00000000000,2.00000000000,"Beautiful, well kept, spacious 2bd, Excellent DavisLocation/!Patio/ DW",,2015-10-28 22:07:45,2015-11-03 21:13:46.567015,2015-11-03 21:13:46.567015,0.00000000000,18.00000000000,231006.70752699999,905588.67028199998,0,231006.707527_905588.670282,8755078.92698,16630.09081,7,3,Davis Square
230997.322318318707403,905588.628847043961287,313,14772.00000000000,2000.00000000000,2.00000000000,"Beautiful, well kept, spacious 2bd, Excellent DavisLocation/!Patio/ DW",,2015-10-28 21:36:17,2015-11-03 21:13:46.572798,2015-11-03 21:13:46.572798,0.00000000000,18.00000000000,230997.32231799999,905588.62884699996,0,230997.322318_905588.628847,8755078.92698,16630.09081,7,3,Davis Square
230987.489606691640802,905671.339220024645329,314,14777.00000000000,2000.00000000000,2.00000000000,"Great Street in Davis Square ~ Walk to T, Dining Room, Hardwood",,2015-10-27 18:15:19,2015-11-03 21:13:46.600634,2015-11-03 21:13:46.600634,0.00000000000,18.00000000000,230987.48960700000,905671.33921999997,0,230987.489607_905671.33922,8755078.92698,16630.09081,7,3,Davis Square
