X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code
231267.86565041996073,903088.671386589296162,19,12809.00000000000,2995.00000000000,2.00000000000,Amazing 2 bed in Harvard squares Chauncy street,,2015-10-27 16:42:46,2015-11-03 20:55:10.631779,2015-11-03 20:55:10.631779,0.00000000000,18.00000000000,231267.86564999999,903088.67138700001,0,231267.86565_903088.671387
228315.396309054805897,902732.47430191677995,20,12816.00000000000,1800.00000000000,2.00000000000,Two Bedroom - New Renovations - Watertown / Cambridge,,2015-11-03 20:27:48,2015-11-03 20:55:21.151489,2015-11-03 20:55:21.151489,0.00000000000,18.00000000000,228315.39630900000,902732.47430200002,0,228315.396309_902732.474302
228315.370789433945902,902738.805647243279964,21,12817.00000000000,1800.00000000000,2.00000000000,Watertown 2BR Apartment - Updated Kitchen & Bath - Belmont - Cambridge,,2015-11-02 20:54:23,2015-11-03 20:55:21.16229,2015-11-03 20:55:21.16229,0.00000000000,18.00000000000,228315.37078900001,902738.80564699997,0,228315.370789_902738.805647
228315.344822100159945,902745.248068882734515,22,12818.00000000000,1950.00000000000,2.00000000000,"NEWLY RENOVATED 2 BED, W/PARKING, FLEX MOVE IN DATES, HW FLOORS",,2015-10-29 15:19:38,2015-11-03 20:55:21.169492,2015-11-03 20:55:21.169492,0.00000000000,18.00000000000,228315.34482200001,902745.24806899996,0,228315.344822_902745.248069
225501.467393552447902,903135.34999409201555,23,12823.00000000000,1800.00000000000,2.00000000000,New Renovations - Sun-filled Two BR Apartment - Watertown -,,2015-11-03 20:27:25,2015-11-03 20:55:26.45054,2015-11-03 20:55:26.45054,0.00000000000,18.00000000000,225501.46739400001,903135.34999400005,0,225501.467394_903135.349994
235780.969721631117864,895288.445400946307927,24,12827.00000000000,2900.00000000000,2.00000000000,BEAUTEOUS 2BR/1.5BATH UNIT-Central A/C-H&HW Included-Bamboo HW Floors-,,2015-11-03 20:26:48,2015-11-03 20:55:31.709057,2015-11-03 20:55:31.709057,0.00000000000,18.00000000000,235780.96972200001,895288.44540099998,0,235780.969722_895288.445401
227917.060025705955923,902037.198335810331628,25,12833.00000000000,2400.00000000000,2.00000000000,Absolutely Gorgeous + Updated!! OPEN LAYOUT! Granite+SS! Parking 1/1!,,2015-11-02 19:07:28,2015-11-03 20:55:42.216873,2015-11-03 20:55:42.216873,0.00000000000,18.00000000000,227917.06002599999,902037.19833599997,0,227917.060026_902037.198336
228721.756466387712862,900296.632977894623764,26,12838.00000000000,1900.00000000000,2.00000000000,Nice 2 Bedroom in Brighton,,2015-11-03 20:23:22,2015-11-03 20:55:47.47199,2015-11-03 20:55:47.47199,0.00000000000,18.00000000000,228721.75646599999,900296.63297799998,0,228721.756466_900296.632978
228406.301148176804418,898926.988950610975735,27,12873.00000000000,1900.00000000000,2.00000000000,Beautiful 2 beds apartment on Cleveland Circle for rent,,2015-11-02 18:05:50,2015-11-03 20:55:53.255298,2015-11-03 20:55:53.255298,0.00000000000,18.00000000000,228406.30114800000,898926.98895100004,0,228406.301148_898926.988951
221743.757026732346276,868419.314570353832096,28,12894.00000000000,1269.00000000000,2.00000000000,"FOXBORO New Kitchen & cpt., H/HW, Cul-de-sac. Near highways",,2015-11-03 20:23:00,2015-11-03 20:55:58.629403,2015-11-03 20:55:58.629403,0.00000000000,18.00000000000,221743.75702700001,868419.31457000005,0,221743.757027_868419.31457
231967.460527467454085,903855.484607088845223,29,12902.00000000000,1750.00000000000,2.00000000000,AFFORDABLE W/ PRKG & LNDRY! Small dog ok!,,2015-11-03 20:20:13,2015-11-03 20:56:03.913363,2015-11-03 20:56:03.913363,0.00000000000,18.00000000000,231967.46052699999,903855.48460700002,0,231967.460527_903855.484607
232009.974709501868347,904880.378884293953888,30,12903.00000000000,2650.00000000000,2.00000000000,"Renovated 2 BD, SS, Walk to Davis & Porter, Parking for 2",,2015-11-03 20:20:09,2015-11-03 20:56:09.146164,2015-11-03 20:56:09.146164,0.00000000000,18.00000000000,232009.97471000001,904880.37888400001,0,232009.97471_904880.378884
232671.756717168667819,903578.696318308124319,31,12910.00000000000,1750.00000000000,2.00000000000,BIG with Modern Kitchen & Bath ** Heat & Hot INCLUDED ** Dishwasher,,2015-11-01 16:31:01,2015-11-03 20:56:14.419837,2015-11-03 20:56:14.419837,0.00000000000,18.00000000000,232671.75671700001,903578.69631799997,0,232671.756717_903578.696318
232647.819998947379645,903661.338528592139482,32,12911.00000000000,2600.00000000000,2.00000000000,Union Sq 2bd/2ba!Modern kitchen! Unit Faces Playground!!InUnit Laundry,,2015-10-30 20:16:00,2015-11-03 20:56:14.425468,2015-11-03 20:56:14.425468,0.00000000000,18.00000000000,232647.81999900000,903661.33852899994,0,232647.819999_903661.338529
230132.443353031645529,903771.061784170684405,33,12917.00000000000,2700.00000000000,2.00000000000,"HALF FEE! Walk to Porter, EIK, in-unit W/D, Renov.",,2015-11-03 20:19:57,2015-11-03 20:56:24.927828,2015-11-03 20:56:24.927828,0.00000000000,18.00000000000,230132.44335300001,903771.06178400002,0,230132.443353_903771.061784
230123.110497298708651,903758.247737657511607,34,12918.00000000000,2400.00000000000,2.00000000000,"Gorgeous top floor, West Cambridge, Harvard Sq, study, laundry in unit",,2015-11-03 17:40:27,2015-11-03 20:56:24.9346,2015-11-03 20:56:24.9346,0.00000000000,18.00000000000,230123.11049699999,903758.24773800001,0,230123.110497_903758.247738
230085.530735455773538,903707.212773540290073,35,12922.00000000000,2700.00000000000,2.00000000000,"West Cambridge, renovated kitchen, deck, study, parking, w/d, pets ok!",,2015-11-01 16:06:01,2015-11-03 20:56:24.956897,2015-11-03 20:56:24.956897,0.00000000000,18.00000000000,230085.53073500001,903707.21277400001,0,230085.530735_903707.212774
208499.143969638680574,911832.402735683019273,36,12933.00000000000,1500.00000000000,2.00000000000,2 bedroom available W. Concord,,2015-11-03 20:17:32,2015-11-03 20:56:25.027584,2015-11-03 20:56:25.027584,0.00000000000,18.00000000000,208499.14397000000,911832.40273600002,0,208499.14397_911832.402736
241072.087149673112435,905748.520377446198836,37,12941.00000000000,1545.00000000000,2.00000000000,"REVERE Balc., Eat-in Kitchen, Walk-in closet Near Sflk Downs/Logan/90",,2015-11-03 20:16:34,2015-11-03 20:56:35.643071,2015-11-03 20:56:35.643071,0.00000000000,18.00000000000,241072.08715000001,905748.52037699998,0,241072.08715_905748.520377
221884.009978902060539,867547.94849473121576,38,12943.00000000000,1105.00000000000,2.00000000000,"FOXBORO Eat-In Kitch., Heat/HW, New Carpt. Near 106/140/95/495/Shops",,2015-11-03 20:16:20,2015-11-03 20:56:40.886595,2015-11-03 20:56:40.886595,0.00000000000,18.00000000000,221884.00997899999,867547.94849500002,0,221884.009979_867547.948495
234475.894741302996408,899386.898100656690076,39,12955.00000000000,3400.00000000000,2.00000000000,Sunny 2 bed 1.5 bath Ã¢Â˜Â… Saint Botolph / Symphony Subway,,2015-11-02 15:23:52,2015-11-03 20:56:46.187766,2015-11-03 20:56:46.187766,0.00000000000,18.00000000000,234475.89474100000,899386.89810100000,0,234475.894741_899386.898101
237021.676481295697158,898292.512353332480416,40,12967.00000000000,2200.00000000000,2.00000000000,South Boston 2 bed w/ ROOF DECK,,2015-11-03 20:13:50,2015-11-03 20:57:01.969731,2015-11-03 20:57:01.969731,0.00000000000,18.00000000000,237021.67648100000,898292.51235300000,0,237021.676481_898292.512353
237002.737493900262052,898305.075488918926567,41,12968.00000000000,2000.00000000000,2.00000000000,Great South Boston Two Bedroom,,2015-10-28 13:27:53,2015-11-03 20:57:01.976788,2015-11-03 20:57:01.976788,0.00000000000,18.00000000000,237002.73749400000,898305.07548899995,0,237002.737494_898305.075489
231319.247776693751803,904272.663370304973796,42,12972.00000000000,2900.00000000000,2.00000000000,Price Reduction Fantastic 2 Bedroom in Restored Antique Building in P,,2015-11-03 20:11:25,2015-11-03 20:57:07.224828,2015-11-03 20:57:07.224828,0.00000000000,18.00000000000,231319.24777700001,904272.66336999997,0,231319.247777_904272.66337
